participant_id,test_condition,fsm_number,timestamp,q_estimate,q_stategy_scale,q_strategy,subject_age,subject_sex,subject_ethnicity,subject_timeTaken,learning_condition
1,control,22.0,2023-01-23T23:14:30.630Z,10.0,,Try to do simple patterns of emojis multiple times to see the most common responses by the bot.,20.0,Male,Asian,379,Experiment 1 (no preview)
2,prediction,21.0,2023-01-23T23:14:45.993Z,16.0,,Pick the emoji not show on text screen.,24.0,Male,Mixed,475,Experiment 1 (no preview)
3,prediction,21.0,2023-01-23T23:22:35.246Z,10.0,,Try to find a pattern in the first part of the study.,31.0,Female,White,427,Experiment 1 (no preview)
4,explanation,22.0,2023-01-23T23:31:20.611Z,10.0,,Look at the pictures carefully and think of the patterns you saw in the learning phase. Sometimes you can guess what the hidden emoji is by remembering the patterns.,28.0,Female,Asian,493,Experiment 1 (no preview)
5,control,22.0,2023-01-23T23:29:44.484Z,13.0,,I'd tell them to experiment with the chat bot in groups of three messages to better replicate the situations that they'll be asked to predict.,19.0,Male,White,589,Experiment 1 (no preview)
6,control,22.0,2023-01-23T23:30:37.671Z,10.0,,Study the trends and patterns of the chatbot.,21.0,Male,Other,533,Experiment 1 (no preview)
7,prediction,22.0,2023-01-23T23:32:49.203Z,10.0,,I would advise them to closely pay attention to the first phase. This would help in the second phase.,26.0,Female,White,627,Experiment 1 (no preview)
8,control,21.0,2023-01-23T23:40:52.929Z,16.0,,I would advise to pay attention as well as try for different patterns.  I would ask what made the sunglasses always pop out.,34.0,Male,Black,556,Experiment 1 (no preview)
9,explanation,22.0,2023-01-23T23:46:26.183Z,13.0,,I would advise my friend to look for patterns beyond the obvious.,18.0,Male,Asian,326,Experiment 1 (no preview)
10,prediction,21.0,2023-01-23T23:45:53.326Z,10.0,,interchange which emojis you send and do different combinations of them (like which ones go after which) ,23.0,Female,White,568,Experiment 1 (no preview)
11,control,21.0,2023-01-23T23:46:32.708Z,13.0,,"take notes, look for patterns",21.0,Female,White,1143,Experiment 1 (no preview)
12,control,22.0,2023-01-24T00:31:06.575Z,10.0,,"Try and pay attention less to the emoji in response, but more to the two emoji combinations you had done beforehand.",20.0,Female,Other,766,Experiment 1 (no preview)
13,prediction,21.0,2023-01-24T17:22:46.322Z,10.0,intuition,pay attention ,22.0,Female,Other,537,Experiment 1 (no preview)
14,explanation,21.0,2023-01-24T18:01:05.138Z,,rule,"To keep an eye for the love emoji because that is the only one that whenever you input on the system, it will change the chatbot emoji. Fot the thumb emoji, it will give the same respond for the chatbot. ",31.0,Female,Asian,707,Experiment 1 (no preview)
15,explanation,22.0,2023-01-24T18:04:00.142Z,10.0,intuition,I literally have no clue,19.0,Male,White,812,Experiment 1 (no preview)
16,prediction,22.0,2023-01-24T18:06:29.227Z,10.0,intuition,focus on trying random response and then make multiple same response to the emoji for comparison,33.0,Male,Asian,596,Experiment 1 (no preview)
17,prediction,22.0,2023-01-24T18:11:08.955Z,10.0,familiarity,Try different combinations in the replies,24.0,Male,Asian,539,Experiment 1 (no preview)
18,explanation,22.0,2023-01-24T18:14:50.984Z,13.0,intuition,"watch every other reaction
",26.0,Male,Other,327,Experiment 1 (no preview)
19,prediction,22.0,2023-01-24T18:20:34.838Z,10.0,familiarity,"Maybe try and learn the patterns in the first task. Can't really memorize it all, but pay much more attention to the responses in the first task. ",28.0,Male,Asian,584,Experiment 1 (no preview)
20,prediction,21.0,2023-01-24T18:26:06.398Z,16.0,rule,"after a thumbs up, it is mostly surprise face. and after a like it usually alternates among the four options ",40.0,Female,Black,623,Experiment 1 (no preview)
21,prediction,22.0,2023-01-24T18:30:34.410Z,10.0,intuition,"don't try too hard to see a pattern, it doesn't seem like there is one",28.0,Female,White,317,Experiment 1 (no preview)
22,control,21.0,2023-01-24T18:29:20.541Z,13.0,intuition,Focus on the pattern and see what emojis pop up with each chat ,21.0,Female,Black,415,Experiment 1 (no preview)
23,explanation,21.0,2023-01-24T18:29:00.939Z,10.0,rule,"I would advise them to view the emojis as binary inputs like 0 or 1 and then try patterns in groups of four. 0-0-0-1, 0010, etc. Then to observe what changed and what stayed the same. I used my test time with the bot poorly.",36.0,Male,DATA_EXPIRED,704,Experiment 1 (no preview)
24,control,21.0,2023-01-24T18:29:37.236Z,19.0,intuition,"I would advice him to follow his intuition.
If only he's familiar with the two emojis presented, and when or how it is used then he should do",36.0,Male,Black,761,Experiment 1 (no preview)
25,explanation,21.0,2023-01-24T18:37:54.831Z,10.0,guess,Try to find the patterns during the test phase,28.0,Female,Asian,386,Experiment 1 (no preview)
26,prediction,22.0,2023-01-24T18:37:17.836Z,10.0,recall,"When you see a surprised face followed by a heart the answer will be a surprised face, use your intuition for the rest of the questions.",29.0,Female,White,586,Experiment 1 (no preview)
27,prediction,21.0,2023-01-24T18:36:35.251Z,13.0,recall,Mastery of the chatbot responses sequentially.,39.0,Male,Black,793,Experiment 1 (no preview)
28,prediction,21.0,2023-01-24T18:40:39.776Z,10.0,familiarity,Watch the pattern during the blue hearts. The thumbs up produces the same results so don't waste the responses on that.,24.0,Female,White,535,Experiment 1 (no preview)
29,prediction,21.0,2023-01-24T18:43:46.106Z,10.0,familiarity,"try a wider variety of options during the test phase
",22.0,Female,White,487,Experiment 1 (no preview)
30,explanation,22.0,2023-01-24T19:03:54.527Z,10.0,intuition,Have good memory. I myself do not have good memory. ,28.0,Male,White,605,Experiment 1 (no preview)
31,explanation,21.0,2023-01-24T20:52:28.973Z,10.0,guess,Notice patterns in learning phase.,21.0,Female,White,519,Experiment 1 (no preview)
32,explanation,21.0,2023-01-24T21:00:49.301Z,10.0,rule,The thumbs up usually makes it repeat its last emoji,28.0,Male,Black,445,Experiment 1 (no preview)
33,explanation,21.0,2023-01-24T21:30:55.384Z,16.0,intuition,Pick an emoji and see how the chatbot responds,24.0,Male,White,544,Experiment 1 (no preview)
34,control,22.0,2023-01-24T22:02:01.340Z,10.0,intuition,Look for patterns in the learning phase. Understand what duplicates mean.,25.0,Female,White,463,Experiment 1 (no preview)
35,control,22.0,2023-01-24T22:03:37.908Z,10.0,familiarity,To try out more combinations,30.0,Male,Asian,481,Experiment 1 (no preview)
36,control,22.0,2023-01-24T22:23:09.717Z,10.0,familiarity,Pay close attention during the beginning practice and spot any patterns. ,21.0,Female,Asian,519,Experiment 1 (no preview)
37,control,22.0,2023-01-24T22:24:23.969Z,10.0,recall,I would tell him to pay attention to what emojis change when presented with one of the prompts vs the other. It seems the thumb changes more emojis than the heart does. ,21.0,Male,White,601,Experiment 1 (no preview)
38,control,21.0,2023-01-24T23:26:35.581Z,16.0,rule,"The thumbs-up emoji gives a confused emoji. The heart emoji gives a different emoji, every thing but the confused emoji. ",22.0,Female,Asian,419,Experiment 1 (no preview)
39,control,21.0,2023-01-24T23:45:13.739Z,,rule,try to find a pattern in how the ai responds,23.0,Female,White,519,Experiment 1 (no preview)
40,prediction,22.0,2023-01-24T18:02:39.756Z,,guess,heart will always end with the surprised emoji. The like will use the current emoji and cycle through all of the emojis,20.0,Male,Asian,23247,Experiment 1 (no preview)
41,control,21.0,2023-01-25T00:16:57.845Z,16.0,rule,Pay attention to when does the bot use specific emojis and how to trigger them,20.0,Male,White,929,Experiment 1 (no preview)
42,explanation,21.0,2023-01-27T16:26:52.984Z,,rule,test out the patterns ,34.0,Female,Mixed,564,Experiment 1 (no preview)
43,explanation,21.0,2023-01-27T16:31:21.270Z,10.0,intuition,Just try to guess as best as you can.,35.0,Male,White,360,Experiment 1 (no preview)
44,explanation,21.0,2023-01-27T16:33:16.132Z,10.0,familiarity,Blue heart changes the emoji.,18.0,Male,Black,387,Experiment 1 (no preview)
45,explanation,21.0,2023-01-27T16:31:36.697Z,13.0,familiarity,write down the pattern of the chats response and frequency to the different emojis during the practice phase,22.0,Female,White,541,Experiment 1 (no preview)
46,explanation,21.0,2023-01-27T16:31:56.305Z,10.0,intuition,Memorize what triggers the certain patterns of emojis. ,24.0,Male,White,573,Experiment 1 (no preview)
47,explanation,21.0,2023-01-27T16:31:53.679Z,10.0,guess,"I have no idea, I couldn't figure it out!!",23.0,Female,White,552,Experiment 1 (no preview)
48,explanation,21.0,2023-01-27T16:32:38.966Z,16.0,rule,"I would say that heart emojis cause laughter, sunglasses emojis, and thumbs up cause astonishment.  ",35.0,Female,White,633,Experiment 1 (no preview)
49,explanation,21.0,2023-01-27T16:32:20.436Z,10.0,recall,"learn the mixes and order of inputs to guess outputs.
",29.0,Male,White,741,Experiment 1 (no preview)
50,explanation,21.0,2023-01-27T16:45:06.909Z,16.0,recall,Just do you best and probably best just to use your intuition. ,39.0,Male,White,1069,Experiment 1 (no preview)
51,explanation,21.0,2023-01-27T17:16:06.968Z,13.0,recall,Try to catch what the patterns are. And memorize the sequences. ,28.0,Female,Other,649,Experiment 1 (no preview)
52,explanation,22.0,2023-01-27T17:50:41.287Z,10.0,rule,Watch how the emoji changes when you make a different emoji change. There might be a pattern to it.,23.0,Male,White,456,Experiment 1 (no preview)
53,explanation,22.0,2023-01-27T18:07:21.390Z,10.0,intuition,I would advise using different patterns in the testing phase,21.0,Female,White,418,Experiment 1 (no preview)
54,explanation,22.0,2023-01-27T18:05:44.095Z,13.0,rule,"Make patterns with the learning phase and use them in the test phase, and note that the pattern can also depend on the previous chatbot input",19.0,Male,Asian,568,Experiment 1 (no preview)
55,explanation,22.0,2023-01-27T18:09:29.552Z,10.0,intuition,I would advise them to have fun and go with their gut.,28.0,Female,White,353,Experiment 1 (no preview)
56,explanation,22.0,2023-01-27T18:12:38.316Z,13.0,intuition,Repeated actions are good to test the bot.,34.0,Male,Mixed,559,Experiment 1 (no preview)
57,explanation,22.0,2023-01-27T18:13:18.121Z,10.0,intuition,"monitor the changes between each click, multiples and how often each response is recorded from each emoji response you supply",32.0,Male,White,439,Experiment 1 (no preview)
58,explanation,22.0,2023-01-27T18:15:43.688Z,13.0,familiarity,Really test out the differences in reactions in the TEST phase. this will help you get multiple answers and come up with a good solution. ,32.0,Male,Mixed,420,Experiment 1 (no preview)
59,explanation,22.0,2023-01-27T18:15:23.021Z,,intuition,Don't over think it and just go with what feels right. I would also probably advice spending more time trying to find a pattern.,24.0,Female,Other,568,Experiment 1 (no preview)
60,explanation,22.0,2023-01-27T18:17:55.576Z,10.0,familiarity,Take note of more than just patterns from one emoji in a row.,31.0,Female,White,468,Experiment 1 (no preview)
61,explanation,22.0,2023-01-27T18:23:51.013Z,13.0,rule,I would tell them to memorize the patterns of the emoji interactions. It seems chatbot will always give you a certain emote when you use either heart or thumbs up. ,24.0,Female,White,665,Experiment 1 (no preview)
62,explanation,22.0,2023-01-27T18:26:45.066Z,13.0,intuition,Try and use the same emoji for the first few responses to see if that changes the response. And see if any certain combination changes the response.,41.0,Female,White,597,Experiment 1 (no preview)
63,control,22.0,2023-01-27T18:56:49.826Z,10.0,familiarity,I would recommend my friend to really play and try to find the pattern with the emoji's. To really try out all options and see what he/she gets. ,23.0,Female,Other,1002,Experiment 1 (no preview)
64,control,22.0,2023-01-27T19:02:57.872Z,19.0,recall,Notice the patterns and try to memorize which pattern goes with what emoji,26.0,Female,White,469,Experiment 1 (no preview)
65,control,22.0,2023-01-27T19:16:09.634Z,10.0,none,Track the emoji pattern,42.0,Female,White,460,Experiment 1 (no preview)
66,control,22.0,2023-01-27T19:19:26.253Z,10.0,rule,There is a pattern so follow it.,23.0,Female,Black,814,Experiment 1 (no preview)
67,control,22.0,2023-01-27T19:28:54.792Z,13.0,rule,Try lots of random combinations of emojis in strings and pay attention to how the chat responds to different patterns. ,27.0,Male,White,405,Experiment 1 (no preview)
68,control,22.0,2023-01-27T19:26:34.881Z,10.0,intuition,Try to memorize all the sequences in all the different patterns.,,Male,White,616,Experiment 1 (no preview)
69,control,22.0,2023-01-27T19:29:52.596Z,10.0,rule,Try to see a pattern that arises with the chose of emoji's you use.,18.0,Male,Asian,470,Experiment 1 (no preview)
70,control,22.0,2023-01-27T19:34:24.029Z,,rule,It seems like repeating the same emoji towards the chatbot results in a better of chance of the chatbot sending a certain emoji over and over in response.,27.0,Male,White,527,Experiment 1 (no preview)
71,control,22.0,2023-01-27T19:39:18.256Z,,guess,"choose at random - if there's any kind of pattern, it's impossible to discern.",30.0,Male,White,506,Experiment 1 (no preview)
72,prediction,22.0,2023-01-27T20:01:02.322Z,13.0,recall,"If first heart responds with shock face, most likely shock faces will continue as long as you send hearts. Sunglasses faces come in pairs or triples. ",28.0,Female,White,433,Experiment 1 (no preview)
73,prediction,22.0,2023-01-27T20:07:49.651Z,10.0,recall,I would advise to look at the patterns during the test phase to see which emoji was being used in response to certain emojis.,21.0,Female,Asian,377,Experiment 1 (no preview)
74,prediction,22.0,2023-01-27T20:19:25.996Z,10.0,intuition,I would tell him that I don't think the chat bot is random but I didn't find a pattern.,33.0,Male,White,361,Experiment 1 (no preview)
75,prediction,22.0,2023-01-27T20:22:12.221Z,10.0,intuition,Pick up on the pattern and have a reason behind picking the hearts and thumbs up at the start. ,25.0,Male,White,502,Experiment 1 (no preview)
76,prediction,22.0,2023-01-27T20:29:23.497Z,,guess,I could not find a strategy that I thought worked. I thought it was pretty random. I couldn't figure out any patterns. ,35.0,Female,White,524,Experiment 1 (no preview)
77,prediction,22.0,2023-01-27T20:34:16.404Z,10.0,familiarity,study the pattern ,29.0,Male,Black,437,Experiment 1 (no preview)
78,prediction,22.0,2023-01-27T20:33:21.020Z,10.0,familiarity,"To just relax, and follow your gut, because I couldn't find any patterns.",42.0,Female,White,551,Experiment 1 (no preview)
79,prediction,22.0,2023-01-27T20:41:39.993Z,10.0,recall,"If you switch your emoji response - i.e. change from a thumbs up to a heart - the AI will ALWAYS change the smiley face it sends back. However, if you use the same emoji twice - i.e. a blue heart twice - the emoji sent back is USUALLY the same (but not always).",33.0,Male,White,520,Experiment 1 (no preview)
80,control,21.0,2023-01-27T21:15:11.308Z,10.0,recall,Remember the responses and learn the pattern.,22.0,Female,Black,532,Experiment 1 (no preview)
81,control,21.0,2023-01-27T21:16:04.365Z,10.0,familiarity,Don't think to hard about it and just go with your gut feeling if you're unable to decide what you think may be the correct answer.,47.0,Female,Other,558,Experiment 1 (no preview)
82,control,21.0,2023-01-27T21:14:13.432Z,10.0,recall,try to have a strategy you use in the test phase to make the second phase much easier,45.0,Male,Black,842,Experiment 1 (no preview)
83,control,21.0,2023-01-27T21:43:56.099Z,16.0,rule,"just think back on how the bot responded to the emojis you used
",25.0,Female,White,426,Experiment 1 (no preview)
84,control,21.0,2023-01-27T21:46:58.967Z,10.0,familiarity,I felt like I received more varied emoji's with the heart emjoi.,31.0,Male,White,464,Experiment 1 (no preview)
85,control,21.0,2023-01-27T21:50:12.544Z,10.0,recall,Try to pay attention to the patterns the chat bot is answering with.,28.0,Female,White,437,Experiment 1 (no preview)
86,control,21.0,2023-01-27T21:52:41.733Z,13.0,intuition,"try and remember the sequence of responses from the AI after you do repetitive messaging
",26.0,Male,White,363,Experiment 1 (no preview)
87,control,21.0,2023-01-27T21:56:43.422Z,10.0,familiarity,"I would tell them to focus on the pattern and pay more attention to round one bot interaction.
",27.0,Male,Black,915,Experiment 1 (no preview)
88,prediction,21.0,2023-01-27T22:24:29.481Z,13.0,recall,Memorize the chat answer for each of your inputs.  ,19.0,Male,Black,815,Experiment 1 (no preview)
89,prediction,21.0,2023-01-27T22:32:06.642Z,13.0,recall,To try to figure out what the response was to each combination and to make sure you are figuring out the hidden emoji when you do the questions later before coming up with the correct answer. ,31.0,Female,White,657,Experiment 1 (no preview)
90,prediction,21.0,2023-01-27T22:38:17.236Z,10.0,rule,I'm not sure there's a strategy for guessing emoj's.,23.0,Male,White,268,Experiment 1 (no preview)
91,prediction,21.0,2023-01-27T22:37:15.816Z,16.0,familiarity,Look for the patterns using the colors in the emojis rather than what the emojis are. ,20.0,Female,White,398,Experiment 1 (no preview)
92,prediction,21.0,2023-01-27T22:40:33.946Z,,intuition,the thumb up emoji is usually the gasp face and the heart emoji response is usually not the same every time so pick a different one than previously responded with,23.0,Female,White,716,Experiment 1 (no preview)
93,prediction,21.0,2023-01-27T22:53:40.457Z,10.0,intuition,"Try to find a pattern in the first part. I thought I saw a couple but the more answers I put, the more I thought I was wrong.",23.0,Male,Asian,381,Experiment 1 (no preview)
94,prediction,21.0,2023-01-27T23:09:54.856Z,16.0,rule,Pay attention to the patterns.,33.0,Female,Other,630,Experiment 1 (no preview)
95,prediction,21.0,2023-01-28T18:43:57.070Z,13.0,intuition,I would advise to take note of any patterns or similarities between sets,18.0,Male,Asian,738,Experiment 1 (no preview)
96,prediction,21.0,2023-01-28T18:56:33.290Z,10.0,familiarity,"Look for any patters, but be willing to make some guesses. ",41.0,Female,White,557,Experiment 1 (no preview)
97,prediction,22.0,2023-01-28T19:52:35.479Z,,intuition,"If you see a pattern in the learn phase, repeat it several times to make sure it's actually a pattern. There were patterns i thought i figured out, that then changed and told me they weren't patterns, and this is possibly pure randomness.",31.0,Male,White,691,Experiment 1 (no preview)
