participant_id,fsm,task,condition,beta_max,p_correct_r3
46,easy,explanation,hidden_an_fsm,0.13,0.6856801139382538
47,easy,explanation,visible_mm,0.0,0.5
47,easy,explanation,visible_fsm,0.0,0.5
47,easy,explanation,hidden_mm,0.28,0.8429045311145473
47,easy,explanation,hidden_fsm,0.28,0.8429045311145473
47,easy,explanation,hidden_an_mm,0.21,0.7790261077798122
47,easy,explanation,hidden_an_fsm,0.5,0.9525741268224333
48,easy,explanation,visible_mm,0.04,0.5597136492671929
48,easy,explanation,visible_fsm,0.0,0.5
48,easy,explanation,hidden_mm,0.13,0.6856801139382538
48,easy,explanation,hidden_fsm,0.11,0.6592603884513853
48,easy,explanation,hidden_an_mm,0.25,0.8175744761936437
48,easy,explanation,hidden_an_fsm,0.26,0.826353352980995
50,easy,explanation,visible_mm,0.1,0.6456563062257955
50,easy,explanation,visible_fsm,0.1,0.6456563062257955
50,easy,explanation,hidden_mm,0.12,0.6726070170677604
50,easy,explanation,hidden_fsm,0.12,0.6726070170677604
50,easy,explanation,hidden_an_mm,0.27,0.8347951298093853
50,easy,explanation,hidden_an_fsm,0.27,0.8347951298093853
51,easy,explanation,visible_mm,0.0,0.5
51,easy,explanation,visible_fsm,0.0,0.5
51,easy,explanation,hidden_mm,0.05,0.5744425168116589
51,easy,explanation,hidden_fsm,0.05,0.5744425168116589
51,easy,explanation,hidden_an_mm,0.07,0.6034832498647262
51,easy,explanation,hidden_an_fsm,0.07,0.6034832498647262
52,hard,explanation,visible_mm,0.0,0.5
52,hard,explanation,visible_fsm,0.0,0.5
52,hard,explanation,hidden_mm,0.0,0.5
52,hard,explanation,hidden_fsm,0.0,0.5
52,hard,explanation,hidden_an_mm,0.06,0.5890404340586651
52,hard,explanation,hidden_an_fsm,0.07,0.6034832498647262
53,hard,explanation,visible_mm,0.0,0.5
53,hard,explanation,visible_fsm,0.0,0.5
53,hard,explanation,hidden_mm,0.0,0.5
53,hard,explanation,hidden_fsm,0.0,0.5
53,hard,explanation,hidden_an_mm,0.0,0.5
53,hard,explanation,hidden_an_fsm,0.0,0.5
54,hard,explanation,visible_mm,0.01,0.5149955016194101
54,hard,explanation,visible_fsm,0.01,0.5149955016194101
54,hard,explanation,hidden_mm,0.0,0.5
54,hard,explanation,hidden_fsm,0.0,0.5
54,hard,explanation,hidden_an_mm,0.03,0.5448788923735801
54,hard,explanation,hidden_an_fsm,0.23,0.7989910002494707
55,hard,explanation,visible_mm,0.26,0.826353352980995
55,hard,explanation,visible_fsm,0.12,0.6726070170677604
55,hard,explanation,hidden_mm,0.0,0.5
55,hard,explanation,hidden_fsm,0.0,0.5
55,hard,explanation,hidden_an_mm,0.0,0.5
55,hard,explanation,hidden_an_fsm,0.0,0.5
56,hard,explanation,visible_mm,0.26,0.826353352980995
56,hard,explanation,visible_fsm,0.2,0.7685247834990176
56,hard,explanation,hidden_mm,0.06,0.5890404340586651
56,hard,explanation,hidden_fsm,0.04,0.5597136492671929
56,hard,explanation,hidden_an_mm,0.0,0.5
56,hard,explanation,hidden_an_fsm,0.0,0.5
57,hard,explanation,visible_mm,0.05,0.5744425168116589
57,hard,explanation,visible_fsm,0.05,0.5744425168116589
57,hard,explanation,hidden_mm,0.02,0.5299640517645717
57,hard,explanation,hidden_fsm,0.02,0.5299640517645717
57,hard,explanation,hidden_an_mm,0.07,0.6034832498647262
57,hard,explanation,hidden_an_fsm,0.07,0.6034832498647262
58,hard,explanation,visible_mm,0.0,0.5
58,hard,explanation,visible_fsm,0.0,0.5
58,hard,explanation,hidden_mm,0.0,0.5
58,hard,explanation,hidden_fsm,0.0,0.5
58,hard,explanation,hidden_an_mm,0.25,0.8175744761936437
58,hard,explanation,hidden_an_fsm,0.26,0.826353352980995
59,hard,explanation,visible_mm,0.33,0.8786811621082632
59,hard,explanation,visible_fsm,0.2,0.7685247834990176
59,hard,explanation,hidden_mm,0.18,0.7464939833376623
59,hard,explanation,hidden_fsm,0.11,0.6592603884513853
59,hard,explanation,hidden_an_mm,0.17,0.7349725994665188
59,hard,explanation,hidden_an_fsm,0.19,0.7576796390037048
60,hard,explanation,visible_mm,0.0,0.5
60,hard,explanation,visible_fsm,0.0,0.5
60,hard,explanation,hidden_mm,0.0,0.5
60,hard,explanation,hidden_fsm,0.0,0.5
60,hard,explanation,hidden_an_mm,0.13,0.6856801139382538
60,hard,explanation,hidden_an_fsm,0.12,0.6726070170677604
61,hard,explanation,visible_mm,0.0,0.5
61,hard,explanation,visible_fsm,0.0,0.5
61,hard,explanation,hidden_mm,0.0,0.5
61,hard,explanation,hidden_fsm,0.0,0.5
61,hard,explanation,hidden_an_mm,0.24,0.8084546514385326
61,hard,explanation,hidden_an_fsm,0.26,0.826353352980995
62,hard,explanation,visible_mm,0.07,0.6034832498647262
62,hard,explanation,visible_fsm,0.07,0.6034832498647262
62,hard,explanation,hidden_mm,0.03,0.5448788923735801
62,hard,explanation,hidden_fsm,0.02,0.5299640517645717
62,hard,explanation,hidden_an_mm,0.15,0.710949502625004
62,hard,explanation,hidden_an_fsm,0.15,0.710949502625004
63,hard,control,visible_mm,0.0,0.5
63,hard,control,visible_fsm,0.0,0.5
63,hard,control,hidden_mm,0.0,0.5
63,hard,control,hidden_fsm,0.0,0.5
63,hard,control,hidden_an_mm,0.0,0.5
63,hard,control,hidden_an_fsm,0.0,0.5
64,hard,control,visible_mm,0.05,0.5744425168116589
64,hard,control,visible_fsm,0.06,0.5890404340586651
64,hard,control,hidden_mm,0.07,0.6034832498647262
64,hard,control,hidden_fsm,0.1,0.6456563062257955
64,hard,control,hidden_an_mm,0.08,0.617747874769249
64,hard,control,hidden_an_fsm,0.23,0.7989910002494707
65,hard,control,visible_mm,0.0,0.5
65,hard,control,visible_fsm,0.0,0.5
65,hard,control,hidden_mm,0.18,0.7464939833376623
65,hard,control,hidden_fsm,0.17,0.7349725994665188
65,hard,control,hidden_an_mm,0.03,0.5448788923735801
65,hard,control,hidden_an_fsm,0.19,0.7576796390037048
66,hard,control,visible_mm,0.05,0.5744425168116589
66,hard,control,visible_fsm,0.06,0.5890404340586651
66,hard,control,hidden_mm,0.05,0.5744425168116589
66,hard,control,hidden_fsm,0.0,0.5
66,hard,control,hidden_an_mm,0.06,0.5890404340586651
66,hard,control,hidden_an_fsm,0.0,0.5
67,hard,control,visible_mm,0.12,0.6726070170677604
67,hard,control,visible_fsm,0.12,0.6726070170677604
67,hard,control,hidden_mm,0.99,0.9973748797433399
67,hard,control,hidden_fsm,0.99,0.9973748797433399
67,hard,control,hidden_an_mm,0.31,0.8652969480479719
67,hard,control,hidden_an_fsm,0.34,0.8849332679544502
68,hard,control,visible_mm,0.1,0.6456563062257955
68,hard,control,visible_fsm,0.12,0.6726070170677604
68,hard,control,hidden_mm,0.04,0.5597136492671929
68,hard,control,hidden_fsm,0.04,0.5597136492671929
68,hard,control,hidden_an_mm,0.26,0.826353352980995
68,hard,control,hidden_an_fsm,0.1,0.6456563062257955
69,hard,control,visible_mm,0.16,0.7231218051243898
69,hard,control,visible_fsm,0.18,0.7464939833376623
69,hard,control,hidden_mm,0.0,0.5
69,hard,control,hidden_fsm,0.0,0.5
69,hard,control,hidden_an_mm,0.05,0.5744425168116589
69,hard,control,hidden_an_fsm,0.1,0.6456563062257955
70,hard,control,visible_mm,0.19,0.7576796390037048
70,hard,control,visible_fsm,0.18,0.7464939833376623
70,hard,control,hidden_mm,0.17,0.7349725994665188
70,hard,control,hidden_fsm,0.17,0.7349725994665188
70,hard,control,hidden_an_mm,0.19,0.7576796390037048
70,hard,control,hidden_an_fsm,0.74,0.988341583445167
71,hard,control,visible_mm,0.18,0.7464939833376623
71,hard,control,visible_fsm,0.18,0.7464939833376623
71,hard,control,hidden_mm,0.0,0.5
71,hard,control,hidden_fsm,0.0,0.5
71,hard,control,hidden_an_mm,0.0,0.5
71,hard,control,hidden_an_fsm,0.0,0.5
72,hard,prediction,visible_mm,0.12,0.6726070170677604
72,hard,prediction,visible_fsm,0.11,0.6592603884513853
72,hard,prediction,hidden_mm,0.15,0.710949502625004
72,hard,prediction,hidden_fsm,0.15,0.710949502625004
72,hard,prediction,hidden_an_mm,0.11,0.6592603884513853
72,hard,prediction,hidden_an_fsm,0.27,0.8347951298093853
73,hard,prediction,visible_mm,0.0,0.5
73,hard,prediction,visible_fsm,0.0,0.5
73,hard,prediction,hidden_mm,0.02,0.5299640517645717
73,hard,prediction,hidden_fsm,0.01,0.5149955016194101
73,hard,prediction,hidden_an_mm,0.03,0.5448788923735801
73,hard,prediction,hidden_an_fsm,0.04,0.5597136492671929
75,hard,prediction,visible_mm,0.0,0.5
75,hard,prediction,visible_fsm,0.0,0.5
75,hard,prediction,hidden_mm,0.0,0.5
75,hard,prediction,hidden_fsm,0.0,0.5
75,hard,prediction,hidden_an_mm,0.05,0.5744425168116589
75,hard,prediction,hidden_an_fsm,0.0,0.5
76,hard,prediction,visible_mm,0.0,0.5
76,hard,prediction,visible_fsm,0.0,0.5
76,hard,prediction,hidden_mm,0.0,0.5
76,hard,prediction,hidden_fsm,0.0,0.5
76,hard,prediction,hidden_an_mm,0.0,0.5
76,hard,prediction,hidden_an_fsm,0.0,0.5
77,hard,prediction,visible_mm,0.1,0.6456563062257955
77,hard,prediction,visible_fsm,0.1,0.6456563062257955
77,hard,prediction,hidden_mm,0.08,0.617747874769249
77,hard,prediction,hidden_fsm,0.07,0.6034832498647262
77,hard,prediction,hidden_an_mm,0.18,0.7464939833376623
77,hard,prediction,hidden_an_fsm,0.22,0.7891817065222528
78,hard,prediction,visible_mm,0.0,0.5
78,hard,prediction,visible_fsm,0.0,0.5
78,hard,prediction,hidden_mm,0.0,0.5
78,hard,prediction,hidden_fsm,0.0,0.5
78,hard,prediction,hidden_an_mm,0.03,0.5448788923735801
78,hard,prediction,hidden_an_fsm,0.0,0.5
79,hard,prediction,visible_mm,0.04,0.5597136492671929
79,hard,prediction,visible_fsm,0.04,0.5597136492671929
79,hard,prediction,hidden_mm,0.12,0.6726070170677604
79,hard,prediction,hidden_fsm,0.13,0.6856801139382538
79,hard,prediction,hidden_an_mm,0.05,0.5744425168116589
79,hard,prediction,hidden_an_fsm,0.2,0.7685247834990176
80,easy,control,visible_mm,0.0,0.5
80,easy,control,visible_fsm,0.0,0.5
80,easy,control,hidden_mm,0.0,0.5
80,easy,control,hidden_fsm,0.0,0.5
80,easy,control,hidden_an_mm,0.0,0.5
80,easy,control,hidden_an_fsm,0.0,0.5
81,easy,control,visible_mm,0.27,0.8347951298093853
81,easy,control,visible_fsm,0.26,0.826353352980995
81,easy,control,hidden_mm,0.02,0.5299640517645717
81,easy,control,hidden_fsm,0.02,0.5299640517645717
81,easy,control,hidden_an_mm,0.0,0.5
81,easy,control,hidden_an_fsm,0.0,0.5
83,easy,control,visible_mm,0.11,0.6592603884513853
83,easy,control,visible_fsm,0.11,0.6592603884513853
83,easy,control,hidden_mm,0.0,0.5
83,easy,control,hidden_fsm,0.0,0.5
83,easy,control,hidden_an_mm,0.0,0.5
83,easy,control,hidden_an_fsm,0.0,0.5
84,easy,control,visible_mm,0.15,0.710949502625004
84,easy,control,visible_fsm,0.15,0.710949502625004
84,easy,control,hidden_mm,0.03,0.5448788923735801
84,easy,control,hidden_fsm,0.03,0.5448788923735801
84,easy,control,hidden_an_mm,0.04,0.5597136492671929
84,easy,control,hidden_an_fsm,0.05,0.5744425168116589
85,easy,control,visible_mm,0.99,0.9973748797433399
85,easy,control,visible_fsm,0.99,0.9973748797433399
85,easy,control,hidden_mm,0.02,0.5299640517645717
85,easy,control,hidden_fsm,0.02,0.5299640517645717
85,easy,control,hidden_an_mm,0.04,0.5597136492671929
85,easy,control,hidden_an_fsm,0.0,0.5
86,easy,control,visible_mm,0.16,0.7231218051243898
86,easy,control,visible_fsm,0.16,0.7231218051243898
86,easy,control,hidden_mm,0.15,0.710949502625004
86,easy,control,hidden_fsm,0.15,0.710949502625004
86,easy,control,hidden_an_mm,0.06,0.5890404340586651
86,easy,control,hidden_an_fsm,0.06,0.5890404340586651
87,easy,control,visible_mm,0.05,0.5744425168116589
87,easy,control,visible_fsm,0.05,0.5744425168116589
87,easy,control,hidden_mm,0.09,0.6318124177361016
87,easy,control,hidden_fsm,0.09,0.6318124177361016
87,easy,control,hidden_an_mm,0.13,0.6856801139382538
87,easy,control,hidden_an_fsm,0.13,0.6856801139382538
88,easy,prediction,visible_mm,0.27,0.8347951298093853
88,easy,prediction,visible_fsm,0.27,0.8347951298093853
88,easy,prediction,hidden_mm,0.27,0.8347951298093853
88,easy,prediction,hidden_fsm,0.27,0.8347951298093853
88,easy,prediction,hidden_an_mm,0.28,0.8429045311145473
88,easy,prediction,hidden_an_fsm,0.29,0.8506870654691562
89,easy,prediction,visible_mm,0.24,0.8084546514385326
89,easy,prediction,visible_fsm,0.25,0.8175744761936437
89,easy,prediction,hidden_mm,0.28,0.8429045311145473
89,easy,prediction,hidden_fsm,0.29,0.8506870654691562
89,easy,prediction,hidden_an_mm,0.3,0.8581489350995122
89,easy,prediction,hidden_an_fsm,0.29,0.8506870654691562
90,easy,prediction,visible_mm,0.99,0.9973748797433399
90,easy,prediction,visible_fsm,0.99,0.9973748797433399
90,easy,prediction,hidden_mm,0.0,0.5
90,easy,prediction,hidden_fsm,0.04,0.5597136492671929
90,easy,prediction,hidden_an_mm,0.07,0.6034832498647262
90,easy,prediction,hidden_an_fsm,0.1,0.6456563062257955
92,easy,prediction,visible_mm,0.1,0.6456563062257955
92,easy,prediction,visible_fsm,0.12,0.6726070170677604
92,easy,prediction,hidden_mm,0.0,0.5
92,easy,prediction,hidden_fsm,0.0,0.5
92,easy,prediction,hidden_an_mm,0.0,0.5
92,easy,prediction,hidden_an_fsm,0.0,0.5
94,easy,prediction,visible_mm,0.99,0.9973748797433399
94,easy,prediction,visible_fsm,0.99,0.9973748797433399
94,easy,prediction,hidden_mm,0.07,0.6034832498647262
94,easy,prediction,hidden_fsm,0.07,0.6034832498647262
94,easy,prediction,hidden_an_mm,0.0,0.5
94,easy,prediction,hidden_an_fsm,0.0,0.5
95,easy,prediction,visible_mm,0.16,0.7231218051243898
95,easy,prediction,visible_fsm,0.16,0.7231218051243898
95,easy,prediction,hidden_mm,0.01,0.5149955016194101
95,easy,prediction,hidden_fsm,0.0,0.5
95,easy,prediction,hidden_an_mm,0.03,0.5448788923735801
95,easy,prediction,hidden_an_fsm,0.03,0.5448788923735801
96,easy,prediction,visible_mm,0.07,0.6034832498647262
96,easy,prediction,visible_fsm,0.1,0.6456563062257955
96,easy,prediction,hidden_mm,0.03,0.5448788923735801
96,easy,prediction,hidden_fsm,0.03,0.5448788923735801
96,easy,prediction,hidden_an_mm,0.1,0.6456563062257955
96,easy,prediction,hidden_an_fsm,0.03,0.5448788923735801
97,hard,prediction,visible_mm,0.0,0.5
97,hard,prediction,visible_fsm,0.0,0.5
97,hard,prediction,hidden_mm,0.01,0.5149955016194101
97,hard,prediction,hidden_fsm,0.0,0.5
97,hard,prediction,hidden_an_mm,0.06,0.5890404340586651
97,hard,prediction,hidden_an_fsm,0.06,0.5890404340586651
