condition,fsm,task,beta,sum_log_p
visible_beta,easy,prediction,0.0,-45.15449934959718
visible_beta,easy,prediction,0.05,-41.08442672775067
visible_beta,easy,prediction,0.1,-37.548138972640004
visible_beta,easy,prediction,0.15,-34.53170798345597
visible_beta,easy,prediction,0.2,-32.01301178942845
visible_beta,easy,prediction,0.25,-29.96320169067543
visible_beta,easy,prediction,0.3,-28.348459507694866
visible_beta,easy,prediction,0.35,-27.13183351539965
visible_beta,easy,prediction,0.4,-26.2749694316292
visible_beta,easy,prediction,0.45,-25.73960521028998
visible_beta,easy,prediction,0.5,-25.488758172668547
visible_beta,easy,prediction,0.55,-25.48758643088137
visible_beta,easy,prediction,0.6,-25.703945958011698
visible_beta,easy,prediction,0.65,-26.108688209762754
visible_beta,easy,prediction,0.7,-26.675752991387288
visible_beta,easy,prediction,0.75,-27.382111135670986
visible_beta,easy,prediction,0.8,-28.207605489594183
visible_beta,easy,prediction,0.85,-29.13472993220599
visible_beta,easy,prediction,0.9,-30.148376882822543
visible_beta,easy,prediction,0.95,-31.23557529682376
hidden_beta,easy,prediction,0.0,-45.15449934959718
hidden_beta,easy,prediction,0.05,-43.975095156040915
hidden_beta,easy,prediction,0.1,-43.15236516971135
hidden_beta,easy,prediction,0.15,-42.67924461829396
hidden_beta,easy,prediction,0.2,-42.54439528489527
hidden_beta,easy,prediction,0.25,-42.73280475062507
hidden_beta,easy,prediction,0.3,-43.22652648443195
hidden_beta,easy,prediction,0.35,-44.00548581094217
hidden_beta,easy,prediction,0.4,-45.04828134743819
hidden_beta,easy,prediction,0.45,-46.33292502036426
hidden_beta,easy,prediction,0.5,-47.83748180072558
hidden_beta,easy,prediction,0.55,-49.54058867537407
hidden_beta,easy,prediction,0.6,-51.4218481457423
hidden_beta,easy,prediction,0.65,-53.46210323046997
hidden_beta,easy,prediction,0.7,-55.643608296013525
hidden_beta,easy,prediction,0.75,-57.95011360426576
hidden_beta,easy,prediction,0.8,-60.36688217142267
hidden_beta,easy,prediction,0.85,-62.880656349086685
hidden_beta,easy,prediction,0.9,-65.47958930273373
hidden_beta,easy,prediction,0.95,-68.15315390217931
hidden_beta_an,easy,prediction,0.0,-45.15449934959718
hidden_beta_an,easy,prediction,0.05,-44.57256395329279
hidden_beta_an,easy,prediction,0.1,-44.28922434071094
hidden_beta_an,easy,prediction,0.15,-44.29848371830623
hidden_beta_an,easy,prediction,0.2,-44.590760453343464
hidden_beta_an,easy,prediction,0.25,-45.1534478957857
hidden_beta_an,easy,prediction,0.3,-45.97159320109382
hidden_beta_an,easy,prediction,0.35,-47.02861884215333
hidden_beta_an,easy,prediction,0.4,-48.307018729800554
hidden_beta_an,easy,prediction,0.45,-49.788978056011835
hidden_beta_an,easy,prediction,0.5,-51.456886477715166
hidden_beta_an,easy,prediction,0.55,-53.2937333317093
hidden_beta_an,easy,prediction,0.6,-55.28338835666153
hidden_beta_an,easy,prediction,0.65,-57.41078095258689
hidden_beta_an,easy,prediction,0.7,-59.66199576386697
hidden_beta_an,easy,prediction,0.75,-62.02430346220945
hidden_beta_an,easy,prediction,0.8,-64.48614432003765
hidden_beta_an,easy,prediction,0.85,-67.03707962219471
hidden_beta_an,easy,prediction,0.9,-69.66772298511536
hidden_beta_an,easy,prediction,0.95,-72.36966075664716
visible_beta,hard,prediction,0.0,-45.15449934959718
visible_beta,hard,prediction,0.05,-45.81219602199859
visible_beta,hard,prediction,0.1,-46.98055887931955
visible_beta,hard,prediction,0.15,-48.647173557770465
visible_beta,hard,prediction,0.2,-50.792255754384925
visible_beta,hard,prediction,0.25,-53.3898779628576
visible_beta,hard,prediction,0.3,-56.409453712456056
visible_beta,hard,prediction,0.35,-59.817309783853126
visible_beta,hard,prediction,0.4,-63.57819529344698
visible_beta,hard,prediction,0.45,-67.65661494890085
visible_beta,hard,prediction,0.5,-72.01791960865489
visible_beta,hard,prediction,0.55,-76.62912996047368
visible_beta,hard,prediction,0.6,-81.45950227598478
visible_beta,hard,prediction,0.65,-86.48086665286749
visible_beta,hard,prediction,0.7,-91.66777884669814
visible_beta,hard,prediction,0.75,-96.99752922127388
visible_beta,hard,prediction,0.8,-102.45004937763323
visible_beta,hard,prediction,0.85,-108.00775116680184
visible_beta,hard,prediction,0.9,-113.65532590399695
visible_beta,hard,prediction,0.95,-119.37952486925991
hidden_beta,hard,prediction,0.0,-45.15449934959718
hidden_beta,hard,prediction,0.05,-45.14511606921075
hidden_beta,hard,prediction,0.1,-45.49606181140565
hidden_beta,hard,prediction,0.15,-46.19967745818782
hidden_beta,hard,prediction,0.2,-47.243700347379196
hidden_beta,hard,prediction,0.25,-48.61195083718652
hidden_beta,hard,prediction,0.3,-50.28517416942912
hidden_beta,hard,prediction,0.35,-52.24194853728232
hidden_beta,hard,prediction,0.4,-54.45957723908638
hidden_beta,hard,prediction,0.45,-56.91490037539502
hidden_beta,hard,prediction,0.5,-59.584983954313394
hidden_beta,hard,prediction,0.55,-62.44766634340522
hidden_beta,hard,prediction,0.6,-65.48196028907267
hidden_beta,hard,prediction,0.65,-68.66832167871375
hidden_beta,hard,prediction,0.7,-71.98880383305817
hidden_beta,hard,prediction,0.75,-75.42711928083779
hidden_beta,hard,prediction,0.8,-78.96863093067067
hidden_beta,hard,prediction,0.85,-82.60029253046119
hidden_beta,hard,prediction,0.9,-86.31055528111787
hidden_beta,hard,prediction,0.95,-90.08925415304857
hidden_beta_an,hard,prediction,0.0,-45.15449934959718
hidden_beta_an,hard,prediction,0.05,-44.62887505078381
hidden_beta_an,hard,prediction,0.1,-44.48837032953672
hidden_beta_an,hard,prediction,0.15,-44.72414238013814
hidden_beta_an,hard,prediction,0.2,-45.32209861621762
hidden_beta_an,hard,prediction,0.25,-46.263768939478354
hidden_beta_an,hard,prediction,0.3,-47.52735883230678
hidden_beta_an,hard,prediction,0.35,-49.08886177079274
hidden_beta_an,hard,prediction,0.4,-50.923123427217426
hidden_beta_an,hard,prediction,0.45,-53.0047783704126
hidden_beta_an,hard,prediction,0.5,-55.309013217757624
hidden_beta_an,hard,prediction,0.55,-57.81214077126913
hidden_beta_an,hard,prediction,0.6,-60.49199305285669
hidden_beta_an,hard,prediction,0.65,-63.32815594687683
hidden_beta_an,hard,prediction,0.7,-66.30207518722375
hidden_beta_an,hard,prediction,0.75,-69.39706461335288
hidden_beta_an,hard,prediction,0.8,-72.5982450932715
hidden_beta_an,hard,prediction,0.85,-75.8924380888815
hidden_beta_an,hard,prediction,0.9,-79.26803283077503
hidden_beta_an,hard,prediction,0.95,-82.71484128856342
visible_beta,easy,explanation,0.0,-45.15449934959718
visible_beta,easy,explanation,0.05,-44.28055233599539
visible_beta,easy,explanation,0.1,-43.90432815177515
visible_beta,easy,explanation,0.15,-44.0139418640758
visible_beta,easy,explanation,0.2,-44.59043506117974
visible_beta,easy,explanation,0.25,-45.60892921014481
visible_beta,easy,explanation,0.3,-47.040026314666534
visible_beta,easy,explanation,0.35,-48.85129972953763
visible_beta,easy,explanation,0.4,-51.00873342553978
visible_beta,easy,explanation,0.45,-53.47800219923063
visible_beta,easy,explanation,0.5,-56.22552712886942
visible_beta,easy,explanation,0.55,-59.219280323695806
visible_beta,easy,explanation,0.6,-62.42934457625773
visible_beta,easy,explanation,0.65,-65.82825456681917
visible_beta,easy,explanation,0.7,-69.39115730866584
visible_beta,easy,explanation,0.75,-73.09583266471499
visible_beta,easy,explanation,0.8,-76.92261258348462
visible_beta,easy,explanation,0.85,-80.85423253797428
visible_beta,easy,explanation,0.9,-84.8756422934129
visible_beta,easy,explanation,0.95,-88.97379676360926
hidden_beta,easy,explanation,0.0,-45.15449934959718
hidden_beta,easy,explanation,0.05,-43.57630683015731
hidden_beta,easy,explanation,0.1,-42.480641485864275
hidden_beta,easy,explanation,0.15,-41.85644749276161
hidden_beta,easy,explanation,0.2,-41.686054973396296
hidden_beta,easy,explanation,0.25,-41.94621134935672
hidden_beta,easy,explanation,0.3,-42.609341861463534
hidden_beta,easy,explanation,0.35,-43.64490266419085
hidden_beta,easy,explanation,0.4,-45.020701137903174
hidden_beta,easy,explanation,0.45,-46.70408576471847
hidden_beta,easy,explanation,0.5,-48.662943060097554
hidden_beta,easy,explanation,0.55,-50.86647350511882
hidden_beta,easy,explanation,0.6,-53.28574672038935
hidden_beta,easy,explanation,0.65,-55.89405584798157
hidden_beta,easy,explanation,0.7,-58.66710229690396
hidden_beta,easy,explanation,0.75,-61.58304616117303
hidden_beta,easy,explanation,0.8,-64.62245679503226
hidden_beta,easy,explanation,0.85,-67.76819421471278
hidden_beta,easy,explanation,0.9,-71.00524678617941
hidden_beta,easy,explanation,0.95,-74.32054516693081
hidden_beta_an,easy,explanation,0.0,-45.15449934959718
hidden_beta_an,easy,explanation,0.05,-43.48380893311847
hidden_beta_an,easy,explanation,0.1,-42.30968627153581
hidden_beta_an,easy,explanation,0.15,-41.619323069813134
hidden_beta_an,easy,explanation,0.2,-41.39238092513544
hidden_beta_an,easy,explanation,0.25,-41.60234609653025
hidden_beta_an,easy,explanation,0.3,-42.21815023925546
hidden_beta_an,easy,explanation,0.35,-43.20586097389558
hidden_beta_an,easy,explanation,0.4,-44.5302724835617
hidden_beta_an,easy,explanation,0.45,-46.15627542601803
hidden_beta_an,easy,explanation,0.5,-48.04994120192245
hidden_beta_an,easy,explanation,0.55,-50.1793051968175
hidden_beta_an,easy,explanation,0.6,-52.51486994234731
hidden_beta_an,easy,explanation,0.65,-55.02987061656409
hidden_beta_an,easy,explanation,0.7,-57.700353967996804
hidden_beta_an,easy,explanation,0.75,-60.50512125434124
hidden_beta_an,easy,explanation,0.8,-63.425579872514454
hidden_beta_an,easy,explanation,0.85,-66.44554003744798
hidden_beta_an,easy,explanation,0.9,-69.55098419239492
hidden_beta_an,easy,explanation,0.95,-72.72982897954475
visible_beta,hard,explanation,0.0,-48.16479930623699
visible_beta,hard,explanation,0.05,-47.28741161281276
visible_beta,hard,explanation,0.1,-46.82634342803206
visible_beta,hard,explanation,0.15,-46.77369628697282
visible_beta,hard,explanation,0.2,-47.11676422385315
visible_beta,hard,explanation,0.25,-47.83866667734905
visible_beta,hard,explanation,0.3,-48.91913684863332
visible_beta,hard,explanation,0.35,-50.335389941251584
visible_beta,hard,explanation,0.4,-52.0629986362526
visible_beta,hard,explanation,0.45,-54.07671510224699
visible_beta,hard,explanation,0.5,-56.3511958472155
visible_beta,hard,explanation,0.55,-58.86160387213713
visible_beta,hard,explanation,0.6,-61.584078904619396
visible_beta,hard,explanation,0.65,-64.49607926168011
visible_beta,hard,explanation,0.7,-67.57660756803702
visible_beta,hard,explanation,0.75,-70.80633742439623
visible_beta,hard,explanation,0.8,-74.1676599176189
visible_beta,hard,explanation,0.85,-77.64466847403614
visible_beta,hard,explanation,0.9,-81.22309880448489
visible_beta,hard,explanation,0.95,-84.89023824313041
hidden_beta,hard,explanation,0.0,-48.16479930623699
hidden_beta,hard,explanation,0.05,-48.52498965557916
hidden_beta,hard,explanation,0.1,-49.2561110197506
hidden_beta,hard,explanation,0.15,-50.351457600029526
hidden_beta,hard,explanation,0.2,-51.80022436694662
hidden_beta,hard,explanation,0.25,-53.58802208253979
hidden_beta,hard,explanation,0.3,-55.697522491973935
hidden_beta,hard,explanation,0.35,-58.109174235969284
hidden_beta,hard,explanation,0.4,-60.80193143334501
hidden_beta,hard,explanation,0.45,-63.75394535259562
hidden_beta,hard,explanation,0.5,-66.94318229921377
hidden_beta,hard,explanation,0.55,-70.34794487382266
hidden_beta,hard,explanation,0.6,-73.94728677243101
hidden_beta,hard,explanation,0.65,-77.72132185512817
hidden_beta,hard,explanation,0.7,-81.65143571844932
hidden_beta,hard,explanation,0.75,-85.72041254344443
hidden_beta,hard,explanation,0.8,-89.91249202661126
hidden_beta,hard,explanation,0.85,-94.21337136854552
hidden_beta,hard,explanation,0.9,-98.61016622892882
hidden_beta,hard,explanation,0.95,-103.09134279605917
hidden_beta_an,hard,explanation,0.0,-48.16479930623699
hidden_beta_an,hard,explanation,0.05,-47.1722181357979
hidden_beta_an,hard,explanation,0.1,-46.537433533659645
hidden_beta_an,hard,explanation,0.15,-46.25323124477177
hidden_beta_an,hard,explanation,0.2,-46.30807875835334
hidden_beta_an,hard,explanation,0.25,-46.68679216982515
hidden_beta_an,hard,explanation,0.3,-47.371346542148984
hidden_beta_an,hard,explanation,0.35,-48.34173969750914
hidden_beta_an,hard,explanation,0.4,-49.576828597201434
hidden_beta_an,hard,explanation,0.45,-51.055077307963025
hidden_beta_an,hard,explanation,0.5,-52.75517948549404
hidden_beta_an,hard,explanation,0.55,-54.65654079595164
hidden_beta_an,hard,explanation,0.6,-56.73962434292875
hidden_beta_an,hard,explanation,0.65,-58.986173772168826
hidden_beta_an,hard,explanation,0.7,-61.3793347043978
hidden_beta_an,hard,explanation,0.75,-63.903696761457326
hidden_beta_an,hard,explanation,0.8,-66.54527718155762
hidden_beta_an,hard,explanation,0.85,-69.29146417490496
hidden_beta_an,hard,explanation,0.9,-72.13093472788012
hidden_beta_an,hard,explanation,0.95,-75.05355815345575
visible_beta,easy,control,0.0,-42.14419939295737
visible_beta,easy,control,0.05,-39.66176263279269
visible_beta,easy,control,0.1,-37.68845390753392
visible_beta,easy,control,0.15,-36.21115396652061
visible_beta,easy,control,0.2,-35.20900618230143
visible_beta,easy,control,0.25,-34.65477512544104
visible_beta,easy,control,0.3,-34.516478413681284
visible_beta,easy,control,0.35,-34.75909833551309
visible_beta,easy,control,0.4,-35.34620399651297
visible_beta,easy,control,0.45,-36.241361548637975
visible_beta,easy,control,0.5,-37.40926408780813
visible_beta,easy,control,0.55,-38.816561608689746
visible_beta,easy,control,0.6,-40.43240792184291
visible_beta,easy,control,0.65,-42.22876379291074
visible_beta,easy,control,0.7,-44.18050543363865
visible_beta,easy,control,0.75,-46.26538818777766
visible_beta,easy,control,0.8,-48.463910338135385
visible_beta,easy,control,0.85,-50.75911433641815
visible_beta,easy,control,0.9,-53.13635447297252
visible_beta,easy,control,0.95,-55.583052285744444
hidden_beta,easy,control,0.0,-42.14419939295737
hidden_beta,easy,control,0.05,-41.46984434099497
hidden_beta,easy,control,0.1,-41.19234782305727
hidden_beta,easy,control,0.15,-41.30270376394721
hidden_beta,easy,control,0.2,-41.78652553406089
hidden_beta,easy,control,0.25,-42.62489351769829
hidden_beta,easy,control,0.3,-43.79538702837152
hidden_beta,easy,control,0.35,-45.273186860419074
hidden_beta,easy,control,0.4,-47.0321456390705
hidden_beta,easy,control,0.45,-49.04574743041951
hidden_beta,easy,control,0.5,-51.28790782645538
hidden_beta,easy,control,0.55,-53.73359407346457
hidden_beta,easy,control,0.6,-56.359267451762385
hidden_beta,easy,control,0.65,-59.14316539717117
hidden_beta,easy,control,0.7,-62.06544913179385
hidden_beta,easy,control,0.75,-65.10824528409992
hidden_beta,easy,control,0.8,-68.25560889180845
hidden_beta,easy,control,0.85,-71.49343190573671
hidden_beta,easy,control,0.9,-74.80931708765765
hidden_beta,easy,control,0.95,-78.19243285288427
hidden_beta_an,easy,control,0.0,-42.14419939295737
hidden_beta_an,easy,control,0.05,-41.67286498181427
hidden_beta_an,easy,control,0.1,-41.55978421627731
hidden_beta_an,easy,control,0.15,-41.7968741744634
hidden_beta_an,easy,control,0.2,-42.37125895808113
hidden_beta_an,easy,control,0.25,-43.266073212579506
hidden_beta_an,easy,control,0.3,-44.46142972984191
hidden_beta_an,easy,control,0.35,-45.93543810400436
hidden_beta_an,easy,control,0.4,-47.66517517746357
hidden_beta_an,easy,control,0.45,-49.62753497376761
hidden_beta_an,easy,control,0.5,-51.79991711242657
hidden_beta_an,easy,control,0.55,-54.16074111819236
hidden_beta_an,easy,control,0.6,-56.68979542763495
hidden_beta_an,easy,control,0.65,-59.36844311131182
hidden_beta_an,easy,control,0.7,-62.179712294281025
hidden_beta_an,easy,control,0.75,-65.1082998734714
hidden_beta_an,easy,control,0.8,-68.14051443507535
hidden_beta_an,easy,control,0.85,-71.26417996802063
hidden_beta_an,easy,control,0.9,-74.4685172478706
hidden_beta_an,easy,control,0.95,-77.7440153499035
visible_beta,hard,control,0.0,-48.16479930623699
visible_beta,hard,control,0.05,-46.238319382480036
visible_beta,hard,control,0.1,-44.83785339507357
visible_beta,hard,control,0.15,-43.95110865166058
visible_beta,hard,control,0.2,-43.55846226024083
visible_beta,hard,control,0.25,-43.63413578680371
visible_beta,hard,control,0.3,-44.14762337944487
visible_beta,hard,control,0.35,-45.06521456596014
visible_beta,hard,control,0.4,-46.35146847724091
visible_beta,hard,control,0.45,-47.97053057781991
visible_beta,hard,control,0.5,-49.88722485474461
visible_beta,hard,control,0.55,-52.067894178859426
visible_beta,hard,control,0.6,-54.48099316228778
visible_beta,hard,control,0.65,-57.09745902004287
visible_beta,hard,control,0.7,-59.89089724448952
visible_beta,hard,control,0.75,-62.837622388913786
visible_beta,hard,control,0.8,-65.91659244665851
visible_beta,hard,control,0.85,-69.10927048823919
visible_beta,hard,control,0.9,-72.39944112828714
visible_beta,hard,control,0.95,-75.77300320331545
hidden_beta,hard,control,0.0,-48.16479930623699
hidden_beta,hard,control,0.05,-47.45185065374689
hidden_beta,hard,control,0.1,-47.14346452200056
hidden_beta,hard,control,0.15,-47.23159407224066
hidden_beta,hard,control,0.2,-47.70331680546407
hidden_beta,hard,control,0.25,-48.54150735987589
hidden_beta,hard,control,0.3,-49.725670986085305
hidden_beta,hard,control,0.35,-51.23285481786528
hidden_beta,hard,control,0.4,-53.03855838867936
hidden_beta,hard,control,0.45,-55.11757910107183
hidden_beta,hard,control,0.5,-57.44474784063207
hidden_beta,hard,control,0.55,-59.99553014411137
hidden_beta,hard,control,0.6,-62.74648599902656
hidden_beta,hard,control,0.65,-65.67559472183032
hidden_beta,hard,control,0.7,-68.7624600282835
hidden_beta,hard,control,0.75,-71.98841487227295
hidden_beta,hard,control,0.8,-75.33654683423823
hidden_beta,hard,control,0.85,-78.79166382907874
hidden_beta,hard,control,0.9,-82.34021760016432
hidden_beta,hard,control,0.95,-85.97019958498133
hidden_beta_an,hard,control,0.0,-48.16479930623699
hidden_beta_an,hard,control,0.05,-47.52929395030191
hidden_beta_an,hard,control,0.1,-47.27212490750883
hidden_beta_an,hard,control,0.15,-47.38517696792197
hidden_beta_an,hard,control,0.2,-47.855490588128504
hidden_beta_an,hard,control,0.25,-48.666028968343554
hidden_beta_an,hard,control,0.3,-49.796608477138655
hidden_beta_an,hard,control,0.35,-51.22488797827423
hidden_beta_an,hard,control,0.4,-52.92732373839298
hidden_beta_an,hard,control,0.45,-54.88001995470005
hidden_beta_an,hard,control,0.5,-57.05943285600961
hidden_beta_an,hard,control,0.55,-59.442912364223204
hidden_beta_an,hard,control,0.6,-62.00908557648258
hidden_beta_an,hard,control,0.65,-64.73809954219813
hidden_beta_an,hard,control,0.7,-67.61174752028028
hidden_beta_an,hard,control,0.75,-70.61350461398908
hidden_beta_an,hard,control,0.8,-73.72849711491124
hidden_beta_an,hard,control,0.85,-76.94342654745179
hidden_beta_an,hard,control,0.9,-80.24646540293439
hidden_beta_an,hard,control,0.95,-83.62713760167611
